debate_unit_id,label,span,source_annotators,construction_note
79831,evasion,"Men idéen om et loft er stadig væk god, og det indgår i regeringens arbejde.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
79831,attack,desværre jo også med en aktie fra Parti_F.,"common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
79832,answer,"Jeg vil bestemt ikke afvise, at vi skal diskutere skat som en del af klimahandlingsplanerne.","common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
79832,answer,Men de to ting skal balanceres,"common substring of T4XQCNVT, X8ONC7FW",Reduced to shortest span after containment check
79836,answer,"Det er der også, og det, jeg sagde til Politiken i går, var, at antisemitismen i Danmark kommer flere forskellige steder fra.","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
79837,evasion,"så bliver man nødt til at svare på: Er det konkrete besparelser i psykiatrien, som danskerne kan forvente?","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
79842,answer,eg ønsker bestemt ikke at være hverken fodslæbende eller tøvende eller noget på den grønne omstilling,"common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
79844,answer,"vi tror, det bliver dyrt.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
79845,evasion,Det er Danmarks allervigtigste opgave i det her.,"common substring of 5PIQCGDC, PK7GC1W8",Reduced to shortest span after containment check
79847,evasion,"Men på det område ligesom på mange andre områder bliver det jo sådan lidt svævende, hvad det præcis kommer til at indeholde.","common substring of EN4AMWYO, PCIEWQQM",Reduced to shortest span after containment check
79850,evasion,"Det er jo det, der er interessant, og det ved vi ikke hvordan kommer til at ende.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
79856,evasion,"Det vil jo være en forudsætning, uanset hvilke initiativer regeringen måtte påtænke, at den holder sig inden for de rammer, som er sat op, altså at det bliver finansieret, og at der er styr på, at det ikke svækker beskæftigelsen. Så det er selvfølgelig en forudsætning.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
79860,evasion,"Det problem, som hr. Søren Pape Poulsens parti ikke løste til trods for interessen, da man sad i regering, uanset hvad beskatningsniveauet var, var, at man efterlod en række virksomheder uden mulighed for at vide, hvad de skulle betale i skat.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
79862,evasion,"Nu har Taleren i hvert fald sagt to ting bare i det sidste spørgsmål, som jo ikke nødvendigvis betyder det samme.","common substring of TMOFL9OS, X8ONC7FW",Reduced to shortest span after containment check
79863,answer,"Og det er jo ikke fremtidsmusik – vi finder masser af stoffer i drikkevandsboringerne, som ingen havde regnet med nogen sinde ville havne der.","common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
79870,answer,"Jeg tror, det er en blanding af det hele.","common substring of 5PIQCGDC, PK7GC1W8, X8ONC7FW",Reduced to shortest span after containment check
79870,evasion,"at man oplever at skulle vurderes, med hensyn til om man er uddannelsesparat, når man når til slutningen af folkeskolen.","common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
79871,answer,"Der er rigtig meget gøre, særlig inden for psykiatrien og andre velfærdsområder","common substring of GQV1P2A6, X8ONC7FW",Reduced to shortest span after containment check
